Weed Count;GPS Lat;GPS Lon 
Weed Count;GPS Lat;GPS Lon 
Weed Count;GPS Lat;GPS Lon 
7;4604.8460;01812.8055
7;4604.8460;01812.8055
7;4604.8460;01812.8055
8;4604.8460;01812.8055
8;4604.8460;01812.8055
7;4604.8460;01812.8055
7;4604.8460;01812.8055
9;4604.8460;01812.8055
9;4604.8460;01812.8055
8;4604.8460;01812.8055
8;4604.8460;01812.8055
9;4604.8460;01812.8055
9;4604.8460;01812.8055
7;4604.8460;01812.8055
8;4604.8460;01812.8055
8;4604.8460;01812.8055
7;4604.8460;01812.8055
7;4604.8460;01812.8055
6;4604.8460;01812.8055
6;4604.8460;01812.8055
5;4604.8460;01812.8055
6;4604.8460;01812.8055
7;4604.8460;01812.8055
8;4604.8460;01812.8055
7;4604.8460;01812.8055
6;4604.8460;01812.8055
5;4604.8460;01812.8055
6;4604.8460;01812.8055
6;4604.8460;01812.8055
6;4604.8460;01812.8055
5;4604.8460;01812.8055
5;4604.8460;01812.8055
5;4604.8460;01812.8055
5;4604.8460;01812.8055
6;4604.8460;01812.8055
6;4604.8460;01812.8055
4;4604.8460;01812.8055
5;4604.8460;01812.8055
5;4604.8460;01812.8055
5;4604.8460;01812.8055
5;4604.8460;01812.8055
7;4604.8460;01812.8055
6;4604.8460;01812.8055
5;4604.8460;01812.8055
3;4604.8460;01812.8055
2;4604.8460;01812.8055
2;4604.8460;01812.8055
